Number,tweet_text,Tweets,Date,Sentiment,Score,Effective Sentiment Score,Score Cumulative
1129,         Pegasus gt  The worry is the Bengal Judicial Commission ,"['pegasus', 'gt', 'worry', 'bengal', 'judicial', 'commission']",01-07-2021,positive,0.798339844,0.298339844,0.298339844
1295,        Its permissible under the law of the land to intercept phone calls and emails etc All thats required is to meticulously follow the procedure established by lawThe law does not mention the technology used thus Pegasus can be used if the prescribed procedure is followed,"['permissible', 'law', 'land', 'intercept', 'phone', 'calls', 'emails', 'etc', 'thats', 'required', 'meticulously', 'follow', 'procedure', 'established', 'lawthe', 'law', 'mention', 'technology', 'used', 'thus', 'pegasus', 'used', 'prescribed', 'procedure', 'followed']",01-07-2021,positive,0.644758761,0.144758761,0.443098605
1332,        Lets see whether the elusive Pegasus shall be caughtPegasusSnoopgate,"['lets', 'see', 'whether', 'elusive', 'pegasus', 'shall', 'caughtpegasussnoopgate']",01-07-2021,positive,0.791031659,0.291031659,0.734130264
1813,      So as an European countrys you are permitted to use Pegasus but Morocan who didnt even has it or use it The media made from a fake news a scandal  Pegasus  france24 ,"['european', 'countrys', 'permitted', 'use', 'pegasus', 'morocan', 'didnt', 'even', 'use', 'media', 'made', 'fake', 'news', 'scandal', 'pegasus', 'france24']",01-07-2021,neutral,0.572915733,0.072915733,0.807045997
266,     Commission  IDB  Pegasus who is who Against who,"['commission', 'idb', 'pegasus']",01-07-2021,positive,0.715102494,0.215102494,1.022148491
1808,     maybe pegasus the light unicorn dark seattle pegasuspizza We share the same meali never asked so zourbut the truth that we can dieaddicted to less reputationcrystal ball had to be clearthe soul grinding what i inhalethe spirit of another cherry on topheavenly rocks,"['maybe', 'pegasus', 'light', 'unicorn', 'dark', 'seattle', 'pegasuspizza', 'share', 'meali', 'never', 'asked', 'zourbut', 'truth', 'dieaddicted', 'less', 'reputationcrystal', 'ball', 'clearthe', 'soul', 'grinding', 'inhalethe', 'spirit', 'another', 'cherry', 'topheavenly', 'rocks']",01-07-2021,neutral,0.499657214,-0.000342786,1.021805705
1163,     Supreme Court to hear on Pegasus Spyware Case Today  hmtvPegasus SpywareCase hmtvNews ,"['supreme', 'court', 'hear', 'pegasus', 'spyware', 'case', 'today', 'hmtvpegasus', 'spywarecase', 'hmtvnews']",01-07-2021,neutral,0.579938829,0.079938829,1.101744534
133,     there is a downloadable tool on  that can be used to check if Pegasus was deployed on any private citizens android or iOS device So Respuktfully yalls may as well be eating Dhokla and farting it out in court Lol  WasteOfTime,"['downloadable', 'tool', 'used', 'check', 'pegasus', 'deployed', 'private', 'citizens', 'android', 'ios', 'device', 'respuktfully', 'yalls', 'may', 'well', 'eating', 'dhokla', 'farting', 'court', 'lol', 'wasteoftime']",01-07-2021,positive,0.816009402,0.316009402,1.417753936
74,    App Store apps could easily be scams alot of Apple users are complacent thinking they are safe using Apple products also Pegasus spyware  ,"['app', 'store', 'apps', 'could', 'easily', 'scams', 'alot', 'apple', 'users', 'complacent', 'thinking', 'safe', 'using', 'apple', 'products', 'also', 'pegasus', 'spyware']",01-07-2021,neutral,0.499151856,-0.000848144,1.416905792
1862,    But for that you and your party should support good initiative and constructive criticize wrong one Dont be a party that criticize anything amp everything egPegasus a issue ruling party planted so that you get fooled amp boycott Parliament  JaiHind ,"['party', 'support', 'good', 'initiative', 'constructive', 'criticize', 'wrong', 'one', 'dont', 'party', 'criticize', 'anything', 'amp', 'everything', 'egpegasus', 'issue', 'ruling', 'party', 'planted', 'get', 'fooled', 'amp', 'boycott', 'parliament', 'jaihind']",01-07-2021,positive,0.89701587,0.39701587,1.813921662
1027,    MODI IS SCARED If centre has nothing to hide then why it is not filing a detailed affidavit on whether govt has used pegasus on its citizens or not  ,"['modi', 'scared', 'centre', 'nothing', 'hide', 'filing', 'detailed', 'affidavit', 'whether', 'govt', 'used', 'pegasus', 'citizens']",01-07-2021,negative,0.00382446,-0.49617554,1.317746122
87,    YogendraYadav  While you all are Focusing onplaying petty Politics there is bigger GAME to Pegasusin UttarPradesh which is about all Voting Machines now DESIGNED in accordance to Winner Only a SC Monitoring can SOLVE,"['yogendrayadav', 'focusing', 'onplaying', 'petty', 'politics', 'bigger', 'game', 'pegasusin', 'uttarpradesh', 'voting', 'machines', 'designed', 'accordance', 'winner', 'sc', 'monitoring', 'solve']",01-07-2021,positive,0.771404922,0.271404922,1.589151044
397,   From Pegasus making its 1st appearance in 2008 until it was used with precision on Khashoggi amp Yovanovitch 10 yrs later a LOT of shit went down on regular everyday Americans as practice It lead to many deaths,"['pegasus', 'making', '1st', 'appearance', '2008', 'used', 'precision', 'khashoggi', 'amp', 'yovanovitch', '10', 'yrs', 'later', 'lot', 'shit', 'went', 'regular', 'everyday', 'americans', 'practice', 'lead', 'many', 'deaths']",01-07-2021,neutral,0.570493817,0.070493817,1.659644861
1276,   Maybe Pegasus had something on the Bishop blackmail Gogoi,"['maybe', 'pegasus', 'something', 'bishop', 'blackmail', 'gogoi']",01-07-2021,positive,0.700722277,0.200722277,1.860367138
145,   Seems to me a Pegasus analytics they know something and stopping Mr Sood coming against them,"['seems', 'pegasus', 'analytics', 'know', 'something', 'stopping', 'mr', 'sood', 'coming']",01-07-2021,neutral,0.486617416,-0.013382584,1.846984554
413,   Talk about compliance with US LawsUnder US laws Hacking by a corporation or individual is illegal Apple just made a security upgrade to protect its users from proven instances of hacking enabled amp committed by an Israeli corporationcybersecurity Pegasus NSO,"['talk', 'compliance', 'us', 'lawsunder', 'us', 'laws', 'hacking', 'corporation', 'individual', 'illegal', 'apple', 'made', 'security', 'upgrade', 'protect', 'users', 'proven', 'instances', 'hacking', 'enabled', 'amp', 'committed', 'israeli', 'corporationcybersecurity', 'pegasus', 'nso']",01-07-2021,positive,0.773813605,0.273813605,2.120798159
172,   very funny comments can you please give me the job fromEpstein   Pegasus,"['funny', 'comments', 'please', 'give', 'job', 'fromepstein', 'pegasus']",01-07-2021,positive,0.810968876,0.310968876,2.431767035
1859,   Why govt of India not using Pegasus to track these bhagoda,"['govt', 'india', 'using', 'pegasus', 'track', 'bhagoda']",01-07-2021,negative,0.194052234,-0.305947766,2.125819269
1791,  BhimaKoregaon Model of arrest  Pegasus malware to track in future,"['bhimakoregaon', 'model', 'arrest', 'pegasus', 'malware', 'track', 'future']",01-07-2021,neutral,0.58769083,0.08769083,2.213510099
1310,  CJI  We are reserving and will pass an interim order It might take 23 days to pass the orders MrMehta if there is any rethinking you can mention the matter before usSupremeCourt Pegasus,"['cji', 'reserving', 'pass', 'interim', 'order', 'might', 'take', '23', 'days', 'pass', 'orders', 'mrmehta', 'rethinking', 'mention', 'matter', 'ussupremecourt', 'pegasus']",01-07-2021,positive,0.97033906,0.47033906,2.683849159
1289,  CJI gt Pegasus  judgement gt would it be likea the small white light at the end of the tunnel orb turning in a tunnel  ,"['cji', 'gt', 'pegasus', 'judgement', 'gt', 'would', 'likea', 'small', 'white', 'light', 'end', 'tunnel', 'orb', 'turning', 'tunnel']",01-07-2021,positive,0.623310447,0.123310447,2.807159606
1050,  Crap Forgot the title to the aboveFun FinSpy amp Pegasus Spyware FactOfTheDay from infosecjcp ,"['crap', 'forgot', 'title', 'abovefun', 'finspy', 'amp', 'pegasus', 'spyware', 'factoftheday', 'infosecjcp']",01-07-2021,positive,0.720110714,0.220110714,3.02727032
1520,  Denial to file affidavit in SC by central government in Pegasus case saying many thing itself about necessity and validity of independent probe,"['denial', 'file', 'affidavit', 'sc', 'central', 'government', 'pegasus', 'case', 'saying', 'many', 'thing', 'necessity', 'validity', 'independent', 'probe']",01-07-2021,positive,0.612963974,0.112963974,3.140234294
1718,  Did anyone see d early morning troll Zamindar RahulGandhi amp his gang  No Tweets on Vaccination recently What happened to Pegasus Seems to have died after the Parliament session Latest obsession is FarmersProtest only till UPElection2022  CMPM,"['anyone', 'see', 'early', 'morning', 'troll', 'zamindar', 'rahulgandhi', 'amp', 'gang', 'tweets', 'vaccination', 'recently', 'happened', 'pegasus', 'seems', 'died', 'parliament', 'session', 'latest', 'obsession', 'farmersprotest', 'till', 'upelection2022', 'cmpm']",01-07-2021,negative,0.028674006,-0.471325994,2.6689083
375,  Dont mention FinSpy nor Pegasus and either platform or AnyPlatformThatGetsPwned SRSLY a moot point imo infosecjcp,"['dont', 'mention', 'finspy', 'pegasus', 'either', 'platform', 'anyplatformthatgetspwned', 'srsly', 'moot', 'point', 'imo', 'infosecjcp']",01-07-2021,positive,0.73917824,0.23917824,2.90808654
392,  Dr Jeff StoutPegasus Professor Thank you so much for all your support and encouragement ProudColleague,"['dr', 'jeff', 'stoutpegasus', 'professor', 'thank', 'much', 'support', 'encouragement', 'proudcolleague']",01-07-2021,positive,0.886098862,0.386098862,3.294185402
1166,  During the hearing Mehta told the bench that the government does not wish to file a detailed affidavit  click on link to read more  sijukuriyedamsreekumar  visumexpresso visumexpressollp Pegasus Centralgovernment supremecourtofindia ,"['hearing', 'mehta', 'told', 'bench', 'government', 'wish', 'file', 'detailed', 'affidavit', 'click', 'link', 'read', 'sijukuriyedamsreekumar', 'visumexpresso', 'visumexpressollp', 'pegasus', 'centralgovernment', 'supremecourtofindia']",01-07-2021,negative,0.189300567,-0.310699433,2.983485969
1939,  exclusive content directly from PM Orbn Hopefully free from Pegasus  ,"['exclusive', 'content', 'directly', 'pm', 'orbn', 'hopefully', 'free', 'pegasus']",01-07-2021,positive,0.754241705,0.254241705,3.237727674
